query,rank,assessment_name,url,test_type,duration,remote_support,adaptive_support,score
I need a cognitive ability test for a graduate software engineer,1,Graduate Verbal Reasoning,https://www.shl.com/solutions/products/assessments/graduate-verbal-reasoning/,Cognitive,30,Yes,No,0.3925
I need a cognitive ability test for a graduate software engineer,2,Graduate Situational Judgement Test,https://www.shl.com/solutions/products/assessments/graduate-situational-judgement-test/,Behavioral,25,Yes,No,0.3922
I need a cognitive ability test for a graduate software engineer,3,Graduate Numerical Reasoning,https://www.shl.com/solutions/products/assessments/graduate-numerical-reasoning/,Cognitive,25,Yes,No,0.3898
I need a cognitive ability test for a graduate software engineer,4,Graduate Inductive Reasoning,https://www.shl.com/solutions/products/assessments/graduate-inductive-reasoning/,Cognitive,25,Yes,No,0.3647
I need a cognitive ability test for a graduate software engineer,5,Adaptive Verbal Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-verbal-reasoning-graduate/,Cognitive,20,Yes,Yes,0.3622
I need a cognitive ability test for a graduate software engineer,6,Adaptive Numerical Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-numerical-reasoning-graduate/,Cognitive,20,Yes,Yes,0.36
I need a cognitive ability test for a graduate software engineer,7,Adaptive Inductive Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-inductive-reasoning-graduate/,Cognitive,22,Yes,Yes,0.3453
I need a cognitive ability test for a graduate software engineer,8,General Ability Screening,https://www.shl.com/solutions/products/assessments/general-ability-screening/,Cognitive,12,Yes,No,0.3318
I need a cognitive ability test for a graduate software engineer,9,Verify Numerical Reasoning,https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning/,Cognitive,25,Yes,No,0.3034
I need a cognitive ability test for a graduate software engineer,10,Verify G+ (Interactive),https://www.shl.com/solutions/products/assessments/verify-g-interactive/,Cognitive,36,Yes,Yes,0.297
Personality assessment for a sales manager,1,Sales Personality Questionnaire,https://www.shl.com/solutions/products/assessments/sales-personality-questionnaire/,Personality,20,Yes,No,0.657
Personality assessment for a sales manager,2,Sales Pitch Simulation,https://www.shl.com/solutions/products/assessments/sales-pitch-simulation/,Simulation,15,Yes,No,0.3078
Personality assessment for a sales manager,3,Biodata Questionnaire - Sales,https://www.shl.com/solutions/products/assessments/biodata-questionnaire-sales/,Biodata & Interview,15,Yes,No,0.2925
Personality assessment for a sales manager,4,Big Five – Conscientiousness Assessment,https://www.shl.com/solutions/products/assessments/big-five-conscientiousness-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,5,Big Five – Agreeableness Assessment,https://www.shl.com/solutions/products/assessments/big-five-agreeableness-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,6,Big Five – Extraversion Assessment,https://www.shl.com/solutions/products/assessments/big-five-extraversion-assessment/,Personality,8,Yes,No,0.2485
Personality assessment for a sales manager,7,OPQ32r,https://www.shl.com/solutions/products/assessments/opq32r/,Personality,25,Yes,No,0.2318
Personality assessment for a sales manager,8,Leadership Impact Assessment,https://www.shl.com/solutions/products/assessments/leadership-impact-assessment/,Personality,25,Yes,No,0.2238
Personality assessment for a sales manager,9,Big Five – Openness to Experience Assessment,https://www.shl.com/solutions/products/assessments/big-five-openness-to-experience-assessment/,Personality,8,Yes,No,0.2073
Personality assessment for a sales manager,10,Big Five – Emotional Stability Assessment,https://www.shl.com/solutions/products/assessments/big-five-emotional-stability-assessment/,Personality,8,Yes,No,0.2073
Python programming test for a data analyst,1,Python Programming (Senior Level),https://www.shl.com/solutions/products/assessments/python-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.7358
Python programming test for a data analyst,2,Python Programming (Mid Level),https://www.shl.com/solutions/products/assessments/python-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.7351
Python programming test for a data analyst,3,Python Programming (Entry Level),https://www.shl.com/solutions/products/assessments/python-programming-entry-level/,Knowledge & Skills,20,Yes,No,0.6811
Python programming test for a data analyst,4,C++ Programming (Senior Level),https://www.shl.com/solutions/products/assessments/c-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.282
Python programming test for a data analyst,5,R Programming (Senior Level),https://www.shl.com/solutions/products/assessments/r-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.282
Python programming test for a data analyst,6,Go Programming (Senior Level),https://www.shl.com/solutions/products/assessments/go-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.282
Python programming test for a data analyst,7,C# Programming (Senior Level),https://www.shl.com/solutions/products/assessments/c-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.282
Python programming test for a data analyst,8,Go Programming (Mid Level),https://www.shl.com/solutions/products/assessments/go-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2815
Python programming test for a data analyst,9,C++ Programming (Mid Level),https://www.shl.com/solutions/products/assessments/c-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2815
Python programming test for a data analyst,10,R Programming (Mid Level),https://www.shl.com/solutions/products/assessments/r-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2815
Customer service assessment for a call centre representative,1,Customer Service Situational Judgement,https://www.shl.com/solutions/products/assessments/customer-service-situational-judgement/,Behavioral,20,Yes,No,0.4792
Customer service assessment for a call centre representative,2,Biodata Questionnaire - Customer Service,https://www.shl.com/solutions/products/assessments/biodata-questionnaire-customer-service/,Biodata & Interview,12,Yes,No,0.4321
Customer service assessment for a call centre representative,3,Customer Contact Simulation,https://www.shl.com/solutions/products/assessments/customer-contact-simulation/,Simulation,15,Yes,No,0.4279
Customer service assessment for a call centre representative,4,Role Play - Customer Complaint,https://www.shl.com/solutions/products/assessments/role-play-customer-complaint/,Simulation,15,Yes,No,0.3663
Customer service assessment for a call centre representative,5,Customer Contact Styles Questionnaire (CCSQ),https://www.shl.com/solutions/products/assessments/customer-contact-styles-questionnaire-ccsq/,Personality,20,Yes,No,0.3065
Customer service assessment for a call centre representative,6,Call Centre English Fluency,https://www.shl.com/solutions/products/assessments/call-centre-english-fluency/,Language,15,Yes,No,0.3061
Customer service assessment for a call centre representative,7,Retail Situational Judgement,https://www.shl.com/solutions/products/assessments/retail-situational-judgement/,Behavioral,15,Yes,No,0.2939
Customer service assessment for a call centre representative,8,Virtual Assessment Centre - Manager,https://www.shl.com/solutions/products/assessments/virtual-assessment-centre-manager/,Simulation,60,Yes,No,0.1942
Customer service assessment for a call centre representative,9,Call Center Situational Judgement,https://www.shl.com/solutions/products/assessments/call-center-situational-judgement/,Behavioral,15,Yes,No,0.1911
Customer service assessment for a call centre representative,10,Virtual Assessment Centre - Graduate,https://www.shl.com/solutions/products/assessments/virtual-assessment-centre-graduate/,Simulation,45,Yes,No,0.1887
Leadership development assessment for senior executives,1,Leadership Situational Judgement,https://www.shl.com/solutions/products/assessments/leadership-situational-judgement/,Behavioral,30,Yes,No,0.4704
Leadership development assessment for senior executives,2,Leadership Impact Assessment,https://www.shl.com/solutions/products/assessments/leadership-impact-assessment/,Personality,25,Yes,No,0.4431
Leadership development assessment for senior executives,3,Succession Planning Assessment,https://www.shl.com/solutions/products/assessments/succession-planning-assessment/,Development & 360,25,Yes,No,0.4245
Leadership development assessment for senior executives,4,360 Feedback - Leadership,https://www.shl.com/solutions/products/assessments/360-feedback-leadership/,Development & 360,0,Yes,No,0.3872
Leadership development assessment for senior executives,5,iOS Development (Swift) Assessment,https://www.shl.com/solutions/products/assessments/ios-development-swift-assessment/,Knowledge & Skills,40,Yes,No,0.2809
Leadership development assessment for senior executives,6,Android Development (Kotlin) Assessment,https://www.shl.com/solutions/products/assessments/android-development-kotlin-assessment/,Knowledge & Skills,40,Yes,No,0.2809
Leadership development assessment for senior executives,7,Career Development Assessment,https://www.shl.com/solutions/products/assessments/career-development-assessment/,Development & 360,20,Yes,No,0.2761
Leadership development assessment for senior executives,8,Management Situational Judgement,https://www.shl.com/solutions/products/assessments/management-situational-judgement/,Behavioral,30,Yes,No,0.2346
Leadership development assessment for senior executives,9,Go Programming (Senior Level),https://www.shl.com/solutions/products/assessments/go-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.1758
Leadership development assessment for senior executives,10,R Programming (Senior Level),https://www.shl.com/solutions/products/assessments/r-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.1758
Java developer skills test for mid-level backend engineering position,1,Java Programming (Mid Level),https://www.shl.com/solutions/products/assessments/java-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.5162
Java developer skills test for mid-level backend engineering position,2,Java Programming (Entry Level),https://www.shl.com/solutions/products/assessments/java-programming-entry-level/,Knowledge & Skills,20,Yes,No,0.4288
Java developer skills test for mid-level backend engineering position,3,Java Programming (Senior Level),https://www.shl.com/solutions/products/assessments/java-programming-senior-level/,Knowledge & Skills,60,Yes,No,0.426
Java developer skills test for mid-level backend engineering position,4,Feature Engineering Assessment,https://www.shl.com/solutions/products/assessments/feature-engineering-assessment/,Knowledge & Skills,45,Yes,No,0.322
Java developer skills test for mid-level backend engineering position,5,Engineering Situational Judgement,https://www.shl.com/solutions/products/assessments/engineering-situational-judgement/,Behavioral,20,Yes,No,0.319
Java developer skills test for mid-level backend engineering position,6,AWS Developer Assessment,https://www.shl.com/solutions/products/assessments/aws-developer-assessment/,Knowledge & Skills,40,Yes,No,0.2673
Java developer skills test for mid-level backend engineering position,7,C++ Programming (Mid Level),https://www.shl.com/solutions/products/assessments/c-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2062
Java developer skills test for mid-level backend engineering position,8,C# Programming (Mid Level),https://www.shl.com/solutions/products/assessments/c-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2062
Java developer skills test for mid-level backend engineering position,9,R Programming (Mid Level),https://www.shl.com/solutions/products/assessments/r-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2062
Java developer skills test for mid-level backend engineering position,10,Go Programming (Mid Level),https://www.shl.com/solutions/products/assessments/go-programming-mid-level/,Knowledge & Skills,40,Yes,No,0.2062
Numerical and verbal reasoning for finance graduates,1,Finance Situational Judgement,https://www.shl.com/solutions/products/assessments/finance-situational-judgement/,Behavioral,20,Yes,No,0.4401
Numerical and verbal reasoning for finance graduates,2,Verify Numerical Reasoning (US Norms),https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning-us-norms/,Cognitive,17,Yes,Yes,0.4111
Numerical and verbal reasoning for finance graduates,3,Verify Verbal Reasoning (US Norms),https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning-us-norms/,Cognitive,17,Yes,Yes,0.4008
Numerical and verbal reasoning for finance graduates,4,Verify Numerical Reasoning,https://www.shl.com/solutions/products/assessments/verify-numerical-reasoning/,Cognitive,25,Yes,No,0.3845
Numerical and verbal reasoning for finance graduates,5,Graduate Numerical Reasoning,https://www.shl.com/solutions/products/assessments/graduate-numerical-reasoning/,Cognitive,25,Yes,No,0.3679
Numerical and verbal reasoning for finance graduates,6,Graduate Verbal Reasoning,https://www.shl.com/solutions/products/assessments/graduate-verbal-reasoning/,Cognitive,30,Yes,No,0.3581
Numerical and verbal reasoning for finance graduates,7,Adaptive Numerical Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-numerical-reasoning-graduate/,Cognitive,20,Yes,Yes,0.3398
Numerical and verbal reasoning for finance graduates,8,Verify Verbal Reasoning,https://www.shl.com/solutions/products/assessments/verify-verbal-reasoning/,Cognitive,19,Yes,No,0.3317
Numerical and verbal reasoning for finance graduates,9,Adaptive Numerical Reasoning (Professional),https://www.shl.com/solutions/products/assessments/adaptive-numerical-reasoning-professional/,Cognitive,20,Yes,Yes,0.3314
Numerical and verbal reasoning for finance graduates,10,Adaptive Verbal Reasoning (Graduate),https://www.shl.com/solutions/products/assessments/adaptive-verbal-reasoning-graduate/,Cognitive,20,Yes,Yes,0.3304
Situational judgement test for a retail store supervisor,1,Retail Situational Judgement,https://www.shl.com/solutions/products/assessments/retail-situational-judgement/,Behavioral,15,Yes,No,0.6276
Situational judgement test for a retail store supervisor,2,Supervisory Situational Judgement,https://www.shl.com/solutions/products/assessments/supervisory-situational-judgement/,Behavioral,20,Yes,No,0.4487
Situational judgement test for a retail store supervisor,3,Graduate Situational Judgement Test,https://www.shl.com/solutions/products/assessments/graduate-situational-judgement-test/,Behavioral,25,Yes,No,0.3152
Situational judgement test for a retail store supervisor,4,Sales Situational Judgement,https://www.shl.com/solutions/products/assessments/sales-situational-judgement/,Behavioral,20,Yes,No,0.2711
Situational judgement test for a retail store supervisor,5,Customer Service Situational Judgement,https://www.shl.com/solutions/products/assessments/customer-service-situational-judgement/,Behavioral,20,Yes,No,0.2679
Situational judgement test for a retail store supervisor,6,Safety Situational Judgement,https://www.shl.com/solutions/products/assessments/safety-situational-judgement/,Behavioral,15,Yes,No,0.2642
Situational judgement test for a retail store supervisor,7,Engineering Situational Judgement,https://www.shl.com/solutions/products/assessments/engineering-situational-judgement/,Behavioral,20,Yes,No,0.2542
Situational judgement test for a retail store supervisor,8,Consulting Situational Judgement,https://www.shl.com/solutions/products/assessments/consulting-situational-judgement/,Behavioral,20,Yes,No,0.226
Situational judgement test for a retail store supervisor,9,Legal Professional Situational Judgement,https://www.shl.com/solutions/products/assessments/legal-professional-situational-judgement/,Behavioral,20,Yes,No,0.2247
Situational judgement test for a retail store supervisor,10,Logistics Situational Judgement,https://www.shl.com/solutions/products/assessments/logistics-situational-judgement/,Behavioral,15,Yes,No,0.2052
Cloud architect assessment for AWS and Azure skills,1,AWS Solutions Architect Assessment,https://www.shl.com/solutions/products/assessments/aws-solutions-architect-assessment/,Knowledge & Skills,40,Yes,No,0.5757
Cloud architect assessment for AWS and Azure skills,2,AWS Developer Assessment,https://www.shl.com/solutions/products/assessments/aws-developer-assessment/,Knowledge & Skills,40,Yes,No,0.3978
Cloud architect assessment for AWS and Azure skills,3,Azure Fundamentals Assessment,https://www.shl.com/solutions/products/assessments/azure-fundamentals-assessment/,Knowledge & Skills,40,Yes,No,0.3796
Cloud architect assessment for AWS and Azure skills,4,Azure Administrator Assessment,https://www.shl.com/solutions/products/assessments/azure-administrator-assessment/,Knowledge & Skills,40,Yes,No,0.3511
Cloud architect assessment for AWS and Azure skills,5,Cloud Security Test,https://www.shl.com/solutions/products/assessments/cloud-security-test/,Knowledge & Skills,35,Yes,No,0.3503
Cloud architect assessment for AWS and Azure skills,6,Google Cloud Platform Assessment,https://www.shl.com/solutions/products/assessments/google-cloud-platform-assessment/,Knowledge & Skills,40,Yes,No,0.2975
Cloud architect assessment for AWS and Azure skills,7,Flutter Assessment,https://www.shl.com/solutions/products/assessments/flutter-assessment/,Knowledge & Skills,40,Yes,No,0.0679
Cloud architect assessment for AWS and Azure skills,8,Xamarin Assessment,https://www.shl.com/solutions/products/assessments/xamarin-assessment/,Knowledge & Skills,40,Yes,No,0.0679
Cloud architect assessment for AWS and Azure skills,9,React Developer Assessment,https://www.shl.com/solutions/products/assessments/react-developer-assessment/,Knowledge & Skills,40,Yes,No,0.0645
Cloud architect assessment for AWS and Azure skills,10,Django Developer Assessment,https://www.shl.com/solutions/products/assessments/django-developer-assessment/,Knowledge & Skills,40,Yes,No,0.0618
Microsoft Office proficiency tests for an administrative assistant,1,Microsoft Excel (Advanced),https://www.shl.com/solutions/products/assessments/microsoft-excel-advanced/,Knowledge & Skills,35,Yes,No,0.3141
Microsoft Office proficiency tests for an administrative assistant,2,Microsoft Excel (Intermediate),https://www.shl.com/solutions/products/assessments/microsoft-excel-intermediate/,Knowledge & Skills,25,Yes,No,0.3121
Microsoft Office proficiency tests for an administrative assistant,3,Microsoft PowerPoint (Advanced),https://www.shl.com/solutions/products/assessments/microsoft-powerpoint-advanced/,Knowledge & Skills,35,Yes,No,0.3083
Microsoft Office proficiency tests for an administrative assistant,4,Microsoft Word (Advanced),https://www.shl.com/solutions/products/assessments/microsoft-word-advanced/,Knowledge & Skills,35,Yes,No,0.3083
Microsoft Office proficiency tests for an administrative assistant,5,Microsoft Access (Advanced),https://www.shl.com/solutions/products/assessments/microsoft-access-advanced/,Knowledge & Skills,35,Yes,No,0.3083
Microsoft Office proficiency tests for an administrative assistant,6,Microsoft Outlook (Advanced),https://www.shl.com/solutions/products/assessments/microsoft-outlook-advanced/,Knowledge & Skills,35,Yes,No,0.3083
Microsoft Office proficiency tests for an administrative assistant,7,Microsoft Word (Intermediate),https://www.shl.com/solutions/products/assessments/microsoft-word-intermediate/,Knowledge & Skills,25,Yes,No,0.3065
Microsoft Office proficiency tests for an administrative assistant,8,Microsoft Outlook (Intermediate),https://www.shl.com/solutions/products/assessments/microsoft-outlook-intermediate/,Knowledge & Skills,25,Yes,No,0.3065
Microsoft Office proficiency tests for an administrative assistant,9,Microsoft PowerPoint (Intermediate),https://www.shl.com/solutions/products/assessments/microsoft-powerpoint-intermediate/,Knowledge & Skills,25,Yes,No,0.3065
Microsoft Office proficiency tests for an administrative assistant,10,Microsoft Access (Intermediate),https://www.shl.com/solutions/products/assessments/microsoft-access-intermediate/,Knowledge & Skills,25,Yes,No,0.3065
Emotional intelligence and teamwork assessment for a project manager,1,Emotional Intelligence Questionnaire,https://www.shl.com/solutions/products/assessments/emotional-intelligence-questionnaire/,Personality,20,Yes,No,0.4888
Emotional intelligence and teamwork assessment for a project manager,2,Big Five – Emotional Stability Assessment,https://www.shl.com/solutions/products/assessments/big-five-emotional-stability-assessment/,Personality,8,Yes,No,0.286
Emotional intelligence and teamwork assessment for a project manager,3,Project Prioritisation Exercise,https://www.shl.com/solutions/products/assessments/project-prioritisation-exercise/,Simulation,25,Yes,No,0.2356
Emotional intelligence and teamwork assessment for a project manager,4,Project Management (PMP/PRINCE2),https://www.shl.com/solutions/products/assessments/project-management-pmp-prince2/,Job Knowledge,30,Yes,No,0.2337
Emotional intelligence and teamwork assessment for a project manager,5,Teamwork Situational Judgement,https://www.shl.com/solutions/products/assessments/teamwork-situational-judgement/,Behavioral,20,Yes,No,0.1881
Emotional intelligence and teamwork assessment for a project manager,6,Abstract Reasoning,https://www.shl.com/solutions/products/assessments/abstract-reasoning/,Cognitive,20,Yes,No,0.1633
Emotional intelligence and teamwork assessment for a project manager,7,Virtual Assessment Centre - Manager,https://www.shl.com/solutions/products/assessments/virtual-assessment-centre-manager/,Simulation,60,Yes,No,0.1386
Emotional intelligence and teamwork assessment for a project manager,8,Engineering Situational Judgement,https://www.shl.com/solutions/products/assessments/engineering-situational-judgement/,Behavioral,20,Yes,No,0.129
Emotional intelligence and teamwork assessment for a project manager,9,Construction & Civil Engineering,https://www.shl.com/solutions/products/assessments/construction-civil-engineering/,Job Knowledge,25,Yes,No,0.1231
Emotional intelligence and teamwork assessment for a project manager,10,360 Feedback - Manager,https://www.shl.com/solutions/products/assessments/360-feedback-manager/,Development & 360,0,Yes,No,0.1099
Cybersecurity skills test for an information security analyst,1,Cybersecurity Fundamentals Test,https://www.shl.com/solutions/products/assessments/cybersecurity-fundamentals-test/,Knowledge & Skills,35,Yes,No,0.5086
Cybersecurity skills test for an information security analyst,2,Application Security Test,https://www.shl.com/solutions/products/assessments/application-security-test/,Knowledge & Skills,35,Yes,No,0.4249
Cybersecurity skills test for an information security analyst,3,Security Compliance Test,https://www.shl.com/solutions/products/assessments/security-compliance-test/,Knowledge & Skills,35,Yes,No,0.4249
Cybersecurity skills test for an information security analyst,4,Network Security Test,https://www.shl.com/solutions/products/assessments/network-security-test/,Knowledge & Skills,35,Yes,No,0.3984
Cybersecurity skills test for an information security analyst,5,Cloud Security Test,https://www.shl.com/solutions/products/assessments/cloud-security-test/,Knowledge & Skills,35,Yes,No,0.3984
Cybersecurity skills test for an information security analyst,6,Information Processing Speed,https://www.shl.com/solutions/products/assessments/information-processing-speed/,Cognitive,5,Yes,No,0.2512
Cybersecurity skills test for an information security analyst,7,Verify Interactive - Verbal Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-verbal-reasoning/,Cognitive,17,Yes,Yes,0.1634
Cybersecurity skills test for an information security analyst,8,Verify Interactive - Deductive Reasoning,https://www.shl.com/solutions/products/assessments/verify-interactive-deductive-reasoning/,Cognitive,20,Yes,Yes,0.1488
Cybersecurity skills test for an information security analyst,9,Verify Interactive - Checking,https://www.shl.com/solutions/products/assessments/verify-interactive-checking/,Cognitive,8,Yes,Yes,0.1478
Cybersecurity skills test for an information security analyst,10,Fact-Finding Exercise,https://www.shl.com/solutions/products/assessments/fact-finding-exercise/,Simulation,20,Yes,No,0.1409
Healthcare compliance and safety assessment for hospital staff,1,Healthcare Compliance Knowledge,https://www.shl.com/solutions/products/assessments/healthcare-compliance-knowledge/,Job Knowledge,25,Yes,No,0.6638
Healthcare compliance and safety assessment for hospital staff,2,Healthcare Situational Judgement,https://www.shl.com/solutions/products/assessments/healthcare-situational-judgement/,Behavioral,20,Yes,No,0.4691
Healthcare compliance and safety assessment for hospital staff,3,Security Compliance Test,https://www.shl.com/solutions/products/assessments/security-compliance-test/,Knowledge & Skills,35,Yes,No,0.3271
Healthcare compliance and safety assessment for hospital staff,4,Safety Situational Judgement,https://www.shl.com/solutions/products/assessments/safety-situational-judgement/,Behavioral,15,Yes,No,0.2963
Healthcare compliance and safety assessment for hospital staff,5,Accessibility (WCAG) Compliance Assessment,https://www.shl.com/solutions/products/assessments/accessibility-wcag-compliance-assessment/,Knowledge & Skills,30,Yes,No,0.2832
Healthcare compliance and safety assessment for hospital staff,6,Compliance & Anti-Money Laundering,https://www.shl.com/solutions/products/assessments/compliance-anti-money-laundering/,Job Knowledge,25,Yes,No,0.2742
Healthcare compliance and safety assessment for hospital staff,7,Dependability & Safety Instrument (DSI),https://www.shl.com/solutions/products/assessments/dependability-safety-instrument-dsi/,Personality,15,Yes,No,0.2474
Healthcare compliance and safety assessment for hospital staff,8,Food Safety & Quality (HACCP),https://www.shl.com/solutions/products/assessments/food-safety-quality-haccp/,Job Knowledge,20,Yes,No,0.2041
Healthcare compliance and safety assessment for hospital staff,9,Construction Situational Judgement,https://www.shl.com/solutions/products/assessments/construction-situational-judgement/,Behavioral,15,Yes,No,0.1557
Healthcare compliance and safety assessment for hospital staff,10,Environmental Compliance Knowledge,https://www.shl.com/solutions/products/assessments/environmental-compliance-knowledge/,Job Knowledge,20,Yes,No,0.151
Data science and machine learning assessment for a research scientist,1,Machine Learning Fundamentals Assessment,https://www.shl.com/solutions/products/assessments/machine-learning-fundamentals-assessment/,Knowledge & Skills,45,Yes,No,0.516
Data science and machine learning assessment for a research scientist,2,UX Research Methods Assessment,https://www.shl.com/solutions/products/assessments/ux-research-methods-assessment/,Knowledge & Skills,30,Yes,No,0.3008
Data science and machine learning assessment for a research scientist,3,Actuarial Science Knowledge,https://www.shl.com/solutions/products/assessments/actuarial-science-knowledge/,Job Knowledge,40,Yes,No,0.1853
Data science and machine learning assessment for a research scientist,4,Deep Learning & Neural Networks Assessment,https://www.shl.com/solutions/products/assessments/deep-learning-neural-networks-assessment/,Knowledge & Skills,45,Yes,No,0.1826
Data science and machine learning assessment for a research scientist,5,Learning Agility Assessment,https://www.shl.com/solutions/products/assessments/learning-agility-assessment/,Development & 360,15,Yes,No,0.1617
Data science and machine learning assessment for a research scientist,6,Education & Training Knowledge,https://www.shl.com/solutions/products/assessments/education-training-knowledge/,Job Knowledge,20,Yes,No,0.1286
Data science and machine learning assessment for a research scientist,7,Agile Mindset Indicator,https://www.shl.com/solutions/products/assessments/agile-mindset-indicator/,Personality,12,Yes,No,0.1232
Data science and machine learning assessment for a research scientist,8,Snowflake Data Warehouse Assessment,https://www.shl.com/solutions/products/assessments/snowflake-data-warehouse-assessment/,Knowledge & Skills,40,Yes,No,0.0777
Data science and machine learning assessment for a research scientist,9,Data Entry Accuracy Test,https://www.shl.com/solutions/products/assessments/data-entry-accuracy-test/,Knowledge & Skills,10,Yes,No,0.0683
Data science and machine learning assessment for a research scientist,10,Data Modelling Skills Test,https://www.shl.com/solutions/products/assessments/data-modelling-skills-test/,Knowledge & Skills,30,Yes,No,0.0678
Mechanical comprehension test for an engineering technician,1,Mechanical Comprehension,https://www.shl.com/solutions/products/assessments/mechanical-comprehension/,Cognitive,20,Yes,No,0.5773
Mechanical comprehension test for an engineering technician,2,Engineering Situational Judgement,https://www.shl.com/solutions/products/assessments/engineering-situational-judgement/,Behavioral,20,Yes,No,0.356
Mechanical comprehension test for an engineering technician,3,Feature Engineering Assessment,https://www.shl.com/solutions/products/assessments/feature-engineering-assessment/,Knowledge & Skills,45,Yes,No,0.3219
Mechanical comprehension test for an engineering technician,4,Verbal Comprehension,https://www.shl.com/solutions/products/assessments/verbal-comprehension/,Cognitive,18,Yes,No,0.2268
Mechanical comprehension test for an engineering technician,5,Construction & Civil Engineering,https://www.shl.com/solutions/products/assessments/construction-civil-engineering/,Job Knowledge,25,Yes,No,0.1699
Mechanical comprehension test for an engineering technician,6,Automotive Engineering Knowledge,https://www.shl.com/solutions/products/assessments/automotive-engineering-knowledge/,Job Knowledge,30,Yes,No,0.1642
Mechanical comprehension test for an engineering technician,7,English Language Proficiency,https://www.shl.com/solutions/products/assessments/english-language-proficiency/,Language,25,Yes,No,0.1433
Mechanical comprehension test for an engineering technician,8,Spanish Language Proficiency,https://www.shl.com/solutions/products/assessments/spanish-language-proficiency/,Language,25,Yes,No,0.1354
Mechanical comprehension test for an engineering technician,9,French Language Proficiency,https://www.shl.com/solutions/products/assessments/french-language-proficiency/,Language,25,Yes,No,0.1354
Mechanical comprehension test for an engineering technician,10,Mandarin Language Proficiency,https://www.shl.com/solutions/products/assessments/mandarin-language-proficiency/,Language,25,Yes,No,0.1309
